Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,Area_bin,Area_bin_order,Frontage_bin,Frontage_bin_order,Access_Road_bin,Access_Road_bin_order,Floors_bin,Floors_bin_order,Bedrooms_bin,Bedrooms_bin_order,Bathrooms_bin,Bathrooms_bin_order,Total_Room,Total_Room_bin,Total_Room_order
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,4.0,3.5,2.0,2,3,Have certificate,Full,5.35,Hồ Chí Minh,Gò Vấp,40–60,2,2–4,1,3–5,2,1–2,1,1–2,1,3–4,2,5,5–7,2
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,4.0,5.0,2.0,4,4,Have certificate,Full,6.9,Hồ Chí Minh,Gò Vấp,80–120,4,2–4,1,3–5,2,1–2,1,3–4,2,3–4,2,8,8–11,3
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,3.85,5.0,2.0,2,2,Have certificate,Full,3.79,Hồ Chí Minh,Gò Vấp,20–40,1,2–4,1,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,4.0,4,5,Have certificate,Full,7.99,Hồ Chí Minh,Gò Vấp,40–60,2,4–6,2,5–7,3,3–4,2,3–4,2,5–8,3,9,8–11,3
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,2.0,6,5,Have certificate,Full,5.6,Hồ Chí Minh,Bình Thạnh,40–60,2,2–4,1,3–5,2,1–2,1,5–8,3,5–8,3,11,8–11,3
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,5.0,2.0,4,3,Have certificate,Basic,3.25,Hồ Chí Minh,Bình Thạnh,40–60,2,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,7,5–7,2
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,5.0,4,6,Have certificate,Basic,9.5,Hồ Chí Minh,Gò Vấp,60–80,3,2–4,1,7–9,4,5–7,3,3–4,2,5–8,3,10,8–11,3
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,3.5,3.0,2.0,2,2,Have certificate,Full,3.88,Hồ Chí Minh,Gò Vấp,20–40,1,2–4,1,2–3,1,1–2,1,1–2,1,1–2,1,4,2–4,1
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,4.4,8.0,2.0,7,1,Have certificate,No furnishings,6.7,Bình Dương,Thuận An,120–160,5,4–6,2,7–9,4,1–2,1,5–8,3,1–2,1,8,8–11,3
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,1.0,4,3,Have certificate,Basic,10.0,Hà Nội,Tây Hồ,60–80,3,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,7,5–7,2
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,5.0,5.0,3.0,4,6,Have certificate,No furnishings,6.5,Hồ Chí Minh,Thủ Đức,60–80,3,4–6,2,3–5,2,3–4,2,3–4,2,5–8,3,10,8–11,3
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,4.0,4.0,3.0,3,3,Have certificate,Full,5.85,Hồ Chí Minh,Gò Vấp,40–60,2,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,6,5–7,2
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,5.0,4,4,Have certificate,No furnishings,6.5,Hưng Yên,Yên Mỹ,80–120,4,4–6,2,lớn hơn 9,5,5–7,3,3–4,2,3–4,2,8,8–11,3
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,4.0,6,6,Have certificate,Full,8.8,Hà Nội,Nam Từ Liêm,40–60,2,4–6,2,2–3,1,3–4,2,5–8,3,5–8,3,12,12+,4
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,5.0,3,4,Have certificate,Basic,3.85,Hà Nội,Hoài Đức,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,5.0,4,4,Have certificate,Full,10.0,Hà Nội,Cầu Giấy,40–60,2,2–4,1,3–5,2,5–7,3,3–4,2,3–4,2,8,8–11,3
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.4,3.0,4.0,3,3,Have certificate,Basic,2.9,Hà Nội,Hà Đông,20–40,1,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,5.0,4.0,3,3,Have certificate,Full,5.3,Hải Dương,Kinh Môn,lớn hơn 160,6,8–12,4,3–5,2,3–4,2,3–4,2,3–4,2,6,5–7,2
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,3.0,3,4,Have certificate,No furnishings,5.95,Hồ Chí Minh,Bình Thạnh,40–60,2,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,4,3,Sale contract,No furnishings,3.2,Long An,Bến Lức,80–120,4,4–6,2,lớn hơn 9,5,1–2,1,3–4,2,3–4,2,7,5–7,2
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,4.4,10.0,4.0,4,5,Sale contract,No furnishings,9.5,Hồ Chí Minh,Thủ Đức,120–160,5,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,5–8,3,9,8–11,3
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,4.4,5.0,2.0,1,1,Sale contract,No furnishings,4.1,Hồ Chí Minh,Bình Thạnh,20–40,1,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,4.0,3,4,Have certificate,No furnishings,7.7,Hồ Chí Minh,Phú Nhuận,20–40,1,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,3.0,3,4,Have certificate,Full,10.0,Hồ Chí Minh,Bình Thạnh,60–80,3,2–4,1,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
