source,target,weight
,@A-ThachThiThanhLam,1
,@Datt_Mickey,1
,@HanMy-u4s,1
,@HanPhan-s5v,1
,@Jindayy-02,1
,@KhanhBang-09-k6y,1
,@Linh-NNL,1
,@Meodamdang,1
,@MyHai-u8v,1
,@RonalLinh,1
,@TA-00k,1
,@anhtoanphan2854,1
,@chuongphan3726,1
,@dannychannel487,1
,@groupausencon1930,1
,@haunguyen-fj1mt,1
,@khoitv4977,1
,@lekimloan99,1
,@minhtri9582,1
,@mye292,1
,@thanhathuynh9697,1
,@thanhtanphan06,1
,@votanan420,1
,@xuantruongtran6313,1
@-A-VANUAN,@Nhan-Hoang,1
@-TrinhThanhDanh,@xuyentabao,1
@10nămsauđổitên,@leluan262,1
@14.kimhuyen49,@phátkotuổi,1
@14.kimhuyen49,@ĐứcVũ-q5t8l,1
@14nguyenngan37,@LanHoàng-x4z,1
@18.nguyenhuunhan60,@Khang-u5v4u,1
@18.nguyenhuunhan60,@Quynhnhu2k,1
@18.nguyenhuunhan60,@Triao-ti2tx,1
@18.nguyenhuunhan60,@TrọngTínHuỳnh-q5w,1
@18.nguyenhuunhan60,@anhtyhon5183,1
@18.nguyenhuunhan60,@hoanganhtran8161,1
@18.nguyenhuunhan60,@laundry9335,1
@18.nguyenhuunhan60,@longvo9028,1
@18.nguyenhuunhan60,@lpmusic8d833,1
@18.nguyenhuunhan60,@nguyencung1047,1
@18.nguyenhuunhan60,@userhuynh,1
@18.nguyenhuunhan60,@vocuong3655,1
@18.nguyenhuunhan60,@votanan420,1
@2012Ngan-j3e,@MinhHoangTran-xk2tr,1
@21.thithu13,@khanhnguyen5969,1
@22-nguyengianguyen12,@MobileRealme-md4lb,1
@27chauphuoctan26,@Chu7bem,1
@2k7gaming,@buthienlenvanoi166,2
@2k7gaming,@phamduyofficial7680,1
@30.duythong87,@phuctoan674,1
@37.tranquangvinh36,@HuyLe-sj2mb,1
@37.tranquangvinh36,@ĐịnhHoàng-i8s,1
@38.nguyeninhanhquan31,@boomieesnguyen3634,1
@5.trandu,@phamnguyennhuquynh3296,1
@746.HuỳnhThịKimNgân,@28trongminh87,1
@99vuviking35,@fanchihannguyen,1
@ABCDEGF09,@KhangPhạm-z4i,1
@Amoi11202,@khanhtran-sv4bh,1
